Radial distances,Tangential velocities
-100.0,-0.876839077575853
-97.53964341143346,-0.3423891069261706
-95.07928682286692,-0.8064985943822562
-92.61893023430038,-0.5378278576056503
-90.15857364573384,-0.42492479677368716
-87.6982170571673,-0.6205680356866627
-85.23786046860076,-0.6010555765793562
-82.77750388003422,-0.9268100328930329
-80.31714729146768,-1.1775979166749304
-77.85679070290114,-0.9462853781034051
-75.3964341143346,-0.294068085049712
-72.93607752576806,-0.995529619281214
-70.47572093720152,-0.7964269639555464
-68.01536434863498,-1.3376742274152629
-65.55500776006843,-1.2045015642275534
-63.094651171501894,-0.6397203676223309
-60.634294582935354,-0.8404219850584993
-58.17393799436881,-1.373357954448295
-55.71358140580227,-0.7640802462074634
-53.25322481723573,-1.2650111860315605
-50.79286822866919,-1.2015098413182366
-48.33251164010265,-1.6453729079881592
-45.87215505153611,-1.0168329221021322
-43.41179846296957,-1.5488957335567102
-40.95144187440303,-1.8612423051342788
-38.49108528583649,-1.4617748356602542
-36.03072869726995,-2.0690377438793783
-33.57037210870341,-1.7889493730774408
-31.11001552013687,-2.261347258294602
-28.64965893157033,-2.767456993361143
-26.18930234300379,-2.765703867775026
-23.728945754437248,-2.7621149711658277
-21.268589165870708,-3.5850550565731734
-18.808232577304167,-3.8967684581914863
-16.347875988737627,-4.400974104675452
-13.887519400171087,-5.4671072628732125
-11.427162811604546,-6.6964353252376165
-8.966806223038006,-7.7098235062450975
-6.5064496344714655,-11.140212035750196
-4.046093045904925,-16.367644859153565
-1.5857364573383848,-29.905431156650327
0.8746201312281556,27.065614599318298
3.334976719794696,23.302637466617085
5.795333308361236,14.567008926181076
8.255689896927777,10.205237009969185
10.716046485494317,7.601537189554343
13.176403074060858,6.164767618075475
15.636759662627398,5.733059056164481
18.09711625119394,4.935736155826251
20.55747283976048,4.021505760765559
23.01782942832702,3.8782304941169543
25.47818601689356,3.84416007250115
27.9385426054601,3.139981121541148
30.398899194026626,2.807280380023589
32.85925578259318,2.395494749152918
35.319612371159735,2.104911689815325
37.77996895972626,2.6509985198946677
40.24032554829279,2.353475908406417
42.70068213685934,2.190622869474657
45.1610387254259,2.2974513810374786
47.62139531399242,1.5089419488772926
50.08175190255895,1.6675919307537896
52.542108491125504,1.885842416238495
55.00246507969206,2.2505278080261495
57.462821668258584,1.6684607757348713
59.92317825682511,1.463081971894701
62.383534845391665,1.27139081818941
64.84389143395822,1.482882160692582
67.30424802252475,1.658141818986046
69.76460461109127,1.5072095771225897
72.22496119965783,1.893399424330047
74.68531778822438,1.8243351152380682
77.14567437679091,1.5062529510828913
79.60603096535743,1.4074679808303545
82.06638755392399,1.4058398694262397
84.52674414249054,1.226472420123089
86.98710073105707,1.090040117073892
89.4474573196236,1.6286660922462042
91.90781390819015,1.4594111326623442
94.3681704967567,1.3135838017116512
96.82852708532323,0.9533628843674202
99.28888367388976,0.7703295977249791
101.74924026245631,1.9244138212333797
