Radial distances,Tangential velocities
-100.0,0.2819187579497907
-98.85246700560863,-0.2532482195282729
-97.70493401121726,-0.4610041903150704
-96.55740101682589,0.31855383600883297
-95.40986802243452,0.1121104142714534
-94.26233502804315,-0.08307590643898427
-93.11480203365178,0.16375265502723774
-91.96726903926042,-0.08930720324068697
-90.81973604486905,-0.03111252387793928
-89.67220305047768,0.007802163565994169
-88.52467005608631,-0.7193031836666446
-87.37713706169494,-0.2069667121439175
-86.22960406730357,-0.26710303918718553
-85.0820710729122,-0.19534128066015227
-83.93453807852083,-0.3885965281655574
-82.78700508412946,-0.181715373220517
-81.63947208973809,0.2838925049882319
-80.49193909534672,0.2310686601083336
-79.34440610095535,-0.05290608617059195
-78.19687310656398,-0.2904447585198274
-77.04934011217262,-0.11601167627552
-75.90180711778125,-0.1477753376230776
-74.75427412338988,-0.1005491266778255
-73.60674112899851,-0.10650146768202018
-72.45920813460714,-0.19527909832799245
-71.31167514021577,-0.8059820191919354
-70.1641421458244,-0.48147442639798027
-69.01660915143303,-0.11105740890020072
-67.86907615704166,-0.8274975376944482
-66.72154316265029,-0.6495498531491419
-65.57401016825892,-0.014532682662842605
-64.42647717386755,-0.8809335870997794
-63.278944179476184,0.1999095835737028
-62.131411185084815,-0.14385737901812817
-60.983878190693446,-0.44018851040402135
-59.83634519630208,-0.1875854286083734
-58.68881220191071,-0.10753211971101984
-57.54127920751934,-0.09417037330530614
-56.39374621312797,-0.0698009318328629
-55.2462132187366,-0.5434009833594646
-54.09868022434523,-0.06639513321078666
-52.95114722995386,-0.6740952550306569
-51.80361423556249,-0.6356920293725667
-50.65608124117112,-0.5875848797174081
-49.50854824677975,-0.4327356864398217
-48.361015252388384,-0.33309848467287145
-47.213482257997015,-0.3210873607199671
-46.065949263605646,-0.6405707803304732
-44.918416269214276,-0.7556121345341056
-43.77088327482291,-0.31488272141359036
-42.62335028043154,-0.4179909867369774
-41.47581728604017,-0.5873157722618667
-40.3282842916488,-0.943630586824737
-39.18075129725743,-0.8099105328534897
-38.03321830286606,-0.5578514576017035
-36.88568530847469,-0.34133683805106135
-35.73815231408332,-0.42641533023451533
-34.59061931969195,-0.9133728090687236
-33.443086325300584,-0.855120489894545
-32.295553330909215,-0.9267748279071841
-31.148020336517845,-0.4450548847812927
-30.000487342126476,-0.8120689655231257
-28.852954347735107,-1.0065834629686996
-27.705421353343738,-0.2000645398282644
-26.55788835895237,-1.09236274852607
-25.410355364561,-0.5942520668006082
-24.26282237016963,-1.521008670098488
-23.11528937577826,-0.4117590290721452
-21.96775638138689,-0.9253913586864737
-20.820223386995522,-0.9032978313776736
-19.672690392604153,-1.0597620995789732
-18.525157398212784,-1.6823657249506905
-17.377624403821414,-1.01838949068596
-16.230091409430045,-1.2203867389627439
-15.082558415038676,-2.052254315648664
-13.935025420647307,-1.5731566298884148
-12.787492426255938,-1.800445789106742
-11.639959431864568,-1.3277680655793198
-10.492426437473199,-1.6559391321099863
-9.34489344308183,-2.4321405206358437
-8.19736044869046,-2.310553157044522
-7.049827454299091,-1.9654589613111018
-5.902294459907722,-3.0258675896067433
-4.754761465516353,-2.7530222541599576
-3.6072284711249836,-2.3675006050541305
-2.4596954767336143,-2.0206664131817247
-1.312162482342245,-1.5807475067861796
-0.16462948795087584,-0.22414604643415864
0.9829035064404934,1.8824291182948814
2.1304365008318626,2.252166895189754
3.277969495223232,2.749646475002004
4.425502489614601,3.608559240986353
5.57303548400597,3.433287783333178
6.72056847839734,2.8190351075162186
7.868101472788709,3.0010099685537104
9.015634467180078,2.598096029353635
10.163167461571447,2.5959604745786082
11.310700455962817,2.5797104652775493
12.458233450354186,2.7730955251883938
13.605766444745555,1.890144356858911
14.753299439136924,1.5467448324168465
15.900832433528294,1.5257829257465847
17.048365427919663,1.8704101966842408
18.195898422311032,1.355475417910681
19.3434314167024,1.0967898048408822
20.49096441109377,1.349384650665089
21.63849740548514,2.0786172039694875
22.78603039987651,1.0498011150686346
23.93356339426788,1.6038946292718295
25.081096388659248,1.4829758881857567
26.228629383050617,1.2698383327458238
27.376162377441986,0.9798748455865764
28.523695371833355,1.2651881780038754
29.67122836622474,0.8782629586856483
30.818761360616094,1.1246365860238454
31.96629435500745,1.1298554857574916
33.11382734939883,1.377462492955364
34.261360343790216,0.3385066167415072
35.40889333818157,1.5152620558434133
36.556426332572926,1.618599216066174
37.70395932696431,1.1113630777821548
38.85149232135569,1.655185118021973
39.99902531574705,0.5584679624506492
41.1465583101384,1.1136060319845158
42.294091304529786,0.763936316300182
43.44162429892117,1.458215543486243
44.589157293312525,1.1661822742093588
45.73669028770388,1.0543065363786865
46.88422328209526,1.3226024889792647
48.03175627648665,1.3448722482251174
49.179289270878,1.0254395011951007
50.32682226526936,0.8627639539691865
51.47435525966074,1.0326855647787276
52.621888254052124,1.5039209176213852
53.76942124844348,1.2447664568366494
54.916954242834834,1.3022008348049687
56.06448723722622,1.222656934587424
57.2120202316176,0.8170196322041077
58.359553226008956,1.3443572973079347
59.50708622040031,1.1827452173677029
60.654619214791694,1.4197039885008893
61.80215220918308,2.1679369174381797
62.94968520357443,0.760535598267565
64.09721819796579,0.9335827402932908
65.24475119235717,1.0786858356599744
66.39228418674855,1.0216792929913363
67.53981718113991,0.5604269404163862
68.68735017553126,0.7066050501263001
69.83488316992265,1.8198427033568512
70.98241616431403,1.397634949318677
72.12994915870539,1.5708283368173075
73.27748215309674,1.4754072417300959
74.42501514748812,1.5182386514165078
75.57254814187951,1.248524500474768
76.72008113627086,1.2598947447023465
77.86761413066222,1.298033331335795
79.0151471250536,1.499567615307185
80.16268011944499,1.1588317752358206
81.31021311383634,1.5304097424330552
82.4577461082277,1.5636056995547891
83.60527910261908,0.9569292740035222
84.75281209701046,0.7713744074325843
85.90034509140182,0.44445268812808175
87.04787808579317,1.4744058983024992
88.19541108018456,1.1936924068521946
